JOY,ANGER,SHAME,DISGUST,SADNESS,FEAR,GUILT
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.409241,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.409241,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.409241,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.414474,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.419672,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.418301,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.422078,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.422078,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.422078,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.410596,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.40404,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
0.618297,0.310231,0.4,0.495575,0.539474,0.579125,0.390728
